"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMAD3",0.00421166024701293,0.339707036754967,0.12,0.095,1,"GLUL","SMAD3"
"ISCA1",0.00428216497520797,0.341015752155643,0.138,0.111,1,"GLUL","ISCA1"
"KIAA1841",0.00428605621827521,1.34807050968959,0.011,0.004,1,"GLUL","KIAA1841"
"VOPP1",0.00429027122423631,0.328246385314617,0.143,0.116,1,"GLUL","VOPP1"
"STK10",0.00429432869779341,0.441179914081075,0.078,0.058,1,"GLUL","STK10"
"RNPEPL1",0.00429615705345627,0.33993012110066,0.134,0.108,1,"GLUL","RNPEPL1"
"CAPG",0.00432716033569004,0.496675026672778,0.057,0.039,1,"GLUL","CAPG"
"SYTL5",0.00434176664377671,0.803749993465783,0.027,0.015,1,"GLUL","SYTL5"
"ACTR1B",0.00436690098454056,0.257026297032318,0.194,0.163,1,"GLUL","ACTR1B"
"WASHC4",0.0043782131597818,0.270787642985807,0.189,0.158,1,"GLUL","WASHC4"
"ANKRD9",0.00442002937841513,0.484769182628757,0.063,0.045,1,"GLUL","ANKRD9"
"SCAPER",0.00442227188727901,0.821783916296044,0.026,0.015,1,"GLUL","SCAPER"
"NUGGC",0.00445029884728678,0.410285906135291,0.086,0.065,1,"GLUL","NUGGC"
"FAM133B",0.0045100422053274,0.863870985903354,0.023,0.013,1,"GLUL","FAM133B"
"SNX2",0.0045800416747567,0.294959173230031,0.165,0.136,1,"GLUL","SNX2"
"NFE2L2",0.00465921271561135,0.2603883972114,0.208,0.176,1,"GLUL","NFE2L2"
"PRICKLE3",0.00467225452366315,1.02614241480223,0.017,0.008,1,"GLUL","PRICKLE3"
"PTPRU",0.00470666993579358,0.516670113665339,0.048,0.032,1,"GLUL","PTPRU"
"NHEJ1",0.00487959725864403,1.3671793326373,0.01,0.004,1,"GLUL","NHEJ1"
"LRRCC1",0.00487959725864403,1.3671793326373,0.01,0.004,1,"GLUL","LRRCC1"
"UBXN10",0.0049812896286247,0.591422549661687,0.049,0.033,1,"GLUL","UBXN10"
"TRMT11",0.00498531299287933,0.270531067838625,0.198,0.168,1,"GLUL","TRMT11"
"NEURL4",0.00507287919856044,0.945972066118248,0.019,0.01,1,"GLUL","NEURL4"
"RND3",0.0052179461938074,0.885279878962381,0.022,0.012,1,"GLUL","RND3"
"NARF",0.00522476297568999,0.412798112711252,0.085,0.064,1,"GLUL","NARF"
"CD226",0.0052926229972911,1.14643664851994,0.014,0.006,1,"GLUL","CD226"
"TBC1D16",0.00533624896502977,0.47532813649292,0.063,0.045,1,"GLUL","TBC1D16"
"C18orf21",0.00535269435039053,0.631863475690185,0.039,0.026,1,"GLUL","C18orf21"
"GLMP",0.00539526056255446,0.407013310929883,0.085,0.064,1,"GLUL","GLMP"
"CLEC1B",0.00540268607374298,0.658410630301744,0.035,0.022,1,"GLUL","CLEC1B"
"MAF1",0.00548130617369024,0.320287353176055,0.125,0.1,1,"GLUL","MAF1"
"HCK",0.00549170467637454,0.739261267014069,0.028,0.017,1,"GLUL","HCK"
"PARP4",0.00551802520482094,0.281477295805128,0.165,0.136,1,"GLUL","PARP4"
"IGIP",0.00552844757983174,0.550804405255573,0.046,0.031,1,"GLUL","IGIP"
"CDKAL1",0.00554283154279647,1.38871249418694,0.01,0.004,1,"GLUL","CDKAL1"
"TRIM16L",0.00554283154279647,1.38871249418694,0.01,0.004,1,"GLUL","TRIM16L"
"RAD17",0.00559018388962601,0.470927257475126,0.055,0.039,1,"GLUL","RAD17"
"ITPRID2",0.00559668931900854,0.324738005858969,0.127,0.102,1,"GLUL","ITPRID2"
"TWF1",0.00563202658774351,0.373307801188616,0.097,0.075,1,"GLUL","TWF1"
"SLC25A28",0.00582061522478069,0.276465768886471,0.184,0.155,1,"GLUL","SLC25A28"
"DPM2",0.0058895063423683,0.813148691468032,0.025,0.014,1,"GLUL","DPM2"
"FGD5",0.00594604958066709,0.654173637415274,0.037,0.024,1,"GLUL","FGD5"
"GABPB1",0.00599636424085605,0.910665197382295,0.02,0.011,1,"GLUL","GABPB1"
"ISG15",0.0060497815438734,0.269201253870788,0.206,0.175,1,"GLUL","ISG15"
"EVI2B",0.00606380209800549,0.82450855363258,0.022,0.012,1,"GLUL","EVI2B"
"GLMN",0.00607187518109902,0.847805173543718,0.021,0.012,1,"GLUL","GLMN"
"CSF3R",0.00608078152069013,0.626872231381704,0.039,0.025,1,"GLUL","CSF3R"
"HID1",0.0060869255369769,1.24853483613868,0.011,0.005,1,"GLUL","HID1"
"CYYR1",0.00611107602693006,1.17053232413741,0.011,0.005,1,"GLUL","CYYR1"
"CD180",0.00612801439614208,1.15167329688609,0.013,0.006,1,"GLUL","CD180"
"ATG10",0.00612801439614208,1.15167329688609,0.013,0.006,1,"GLUL","ATG10"
"MAP4K2",0.00612801439614208,1.15167329688609,0.013,0.006,1,"GLUL","MAP4K2"
"ASAP1",0.00618056064029338,0.596749622546317,0.042,0.028,1,"GLUL","ASAP1"
"EFR3A",0.00619374289217375,0.305524814723508,0.155,0.128,1,"GLUL","EFR3A"
"ODC1",0.00623538095216771,0.306637790702247,0.145,0.118,1,"GLUL","ODC1"
"CEBPG",0.00627642695385157,0.261488882988217,0.161,0.133,1,"GLUL","CEBPG"
"RBP7",0.00629803791477608,1.02614241480223,0.016,0.008,1,"GLUL","RBP7"
"SEC24B",0.0063944992079375,0.323124152559362,0.12,0.096,1,"GLUL","SEC24B"
"COA8",0.00646142979890348,0.462874985180393,0.074,0.055,1,"GLUL","COA8"
"CDO1",0.00647271313585379,0.698977671548722,0.03,0.019,1,"GLUL","CDO1"
"TBRG1",0.00649164214868726,0.320227566594987,0.145,0.118,1,"GLUL","TBRG1"
"VPS13C",0.00653118736694317,0.30921457387257,0.143,0.117,1,"GLUL","VPS13C"
"ITGAL",0.00658343704018157,1.02614241480223,0.017,0.009,1,"GLUL","ITGAL"
"CCDC137",0.00664627013750098,0.935944605830652,0.017,0.009,1,"GLUL","CCDC137"
"PPP1R18",0.00669195104712406,0.340033190624175,0.101,0.078,1,"GLUL","PPP1R18"
"EXOC5",0.00669338197339143,0.312446599958872,0.139,0.113,1,"GLUL","EXOC5"
"FGF2",0.00680192331664332,1.0827259431686,0.014,0.007,1,"GLUL","FGF2"
"ZSCAN9",0.00680192331664332,1.0827259431686,0.014,0.007,1,"GLUL","ZSCAN9"
"NT5C2",0.00681611068275016,0.269316398275182,0.165,0.137,1,"GLUL","NT5C2"
"CEMIP2",0.00689200260021362,0.353384309586061,0.096,0.074,1,"GLUL","CEMIP2"
"SHISA4",0.00695241232146704,0.907497918303612,0.019,0.01,1,"GLUL","SHISA4"
"KIAA2026",0.00695241232146704,0.907497918303612,0.019,0.01,1,"GLUL","KIAA2026"
"SLC2A3",0.00698102170049473,1.33099699633065,0.011,0.004,1,"GLUL","SLC2A3"
"TSTD2",0.00698812876346957,0.590043299995558,0.038,0.025,1,"GLUL","TSTD2"
"STN1",0.00699836715422722,0.878043775813097,0.021,0.011,1,"GLUL","STN1"
"ZGRF1",0.00700421390554709,1.26060766843925,0.011,0.004,1,"GLUL","ZGRF1"
"RCBTB1",0.00700612872489359,0.590927033585756,0.04,0.026,1,"GLUL","RCBTB1"
"VAT1",0.00705468162952191,0.286350776557261,0.164,0.137,1,"GLUL","VAT1"
"KIF2A",0.00709591627451254,1.15738694808048,0.013,0.006,1,"GLUL","KIF2A"
"JAK1",0.00715650002572431,0.34277621002008,0.097,0.075,1,"GLUL","JAK1"
"ARHGAP30",0.00721029649005699,0.758209209555598,0.027,0.016,1,"GLUL","ARHGAP30"
"RAB11A",0.00727054097919786,0.256027680335994,0.201,0.171,1,"GLUL","RAB11A"
"SUPT4H1",0.00727522669126031,0.357482834026933,0.098,0.076,1,"GLUL","SUPT4H1"
"MINDY4",0.00731589540207933,1.02614241480223,0.015,0.008,1,"GLUL","MINDY4"
"PUM2",0.00734489497760856,0.326801892935942,0.114,0.091,1,"GLUL","PUM2"
"TLR2",0.00743097900813342,0.497763442447442,0.058,0.041,1,"GLUL","TLR2"
"SLC15A1",0.00752151405411718,0.566710796164934,0.048,0.033,1,"GLUL","SLC15A1"
"KLHL2",0.00761185272880279,0.390774960643832,0.085,0.065,1,"GLUL","KLHL2"
"ST3GAL5",0.00766103750801795,0.656192805051925,0.036,0.023,1,"GLUL","ST3GAL5"
"MCM9",0.00770103193213632,0.72128783327381,0.029,0.017,1,"GLUL","MCM9"
"SIAH1",0.00770103193213632,0.72128783327381,0.029,0.017,1,"GLUL","SIAH1"
"PFKFB3",0.00770148862867547,0.343757516818511,0.092,0.071,1,"GLUL","PFKFB3"
"TREM2",0.00775382270534658,0.888638891052295,0.017,0.008,1,"GLUL","TREM2"
"CAB39",0.00777172694568085,0.417720941257086,0.069,0.051,1,"GLUL","CAB39"
"ZNF503",0.0077945049189599,0.649579063338023,0.031,0.02,1,"GLUL","ZNF503"
"PHF12",0.00789593131695715,0.600836580069561,0.039,0.026,1,"GLUL","PHF12"
"SPATA7",0.00789703609814797,1.0850361038558,0.014,0.006,1,"GLUL","SPATA7"
"ATXN7L1",0.00793327912101545,0.559824410579694,0.043,0.029,1,"GLUL","ATXN7L1"
"LARP4B",0.00795552004063015,0.283638637094595,0.145,0.119,1,"GLUL","LARP4B"
"SIDT2",0.00795916387242963,0.666246469715848,0.033,0.021,1,"GLUL","SIDT2"
"METTL25",0.00802234643265361,0.793481658011956,0.022,0.013,1,"GLUL","METTL25"
"NPFF",0.00809931114860872,0.865677742608985,0.019,0.01,1,"GLUL","NPFF"
"EXOC3L2",0.00814427129793764,0.83851541162646,0.02,0.011,1,"GLUL","EXOC3L2"
"IFITM10",0.0081514878161946,0.365891786776837,0.115,0.093,1,"GLUL","IFITM10"
"DROSHA",0.0081676424775076,0.449353845526776,0.066,0.048,1,"GLUL","DROSHA"
"PUS7L",0.00821736604843779,1.16364593855217,0.012,0.005,1,"GLUL","PUS7L"
"IRAK1",0.00823015188088786,0.291486981323226,0.138,0.113,1,"GLUL","IRAK1"
"ZRANB1",0.00823736072068137,0.351062619384757,0.102,0.08,1,"GLUL","ZRANB1"
"C1GALT1C1",0.00834759375417491,0.605566731981957,0.037,0.024,1,"GLUL","C1GALT1C1"
"SMIM19",0.00842205387110314,0.29402622029742,0.162,0.135,1,"GLUL","SMIM19"
"ENPP1",0.00850149406117186,1.02614241480223,0.015,0.007,1,"GLUL","ENPP1"
"SETDB2",0.00850149406117186,1.02614241480223,0.015,0.007,1,"GLUL","SETDB2"
"APBB3",0.00852103380110574,0.333789357593248,0.145,0.119,1,"GLUL","APBB3"
"SLC38A6",0.00858019844302977,0.763108008968437,0.025,0.015,1,"GLUL","SLC38A6"
"GMPPA",0.00872753153278783,0.470927257475126,0.055,0.04,1,"GLUL","GMPPA"
"DESI1",0.0087360950021547,0.326289993653124,0.106,0.084,1,"GLUL","DESI1"
"BTG2",0.00874468926585524,0.689714750219753,0.049,0.034,1,"GLUL","BTG2"
"EVI5",0.0087475862423634,0.376763185585304,0.082,0.062,1,"GLUL","EVI5"
"FBXL20",0.00879043490818061,0.628382906955222,0.035,0.023,1,"GLUL","FBXL20"
"ABCC9",0.00889316020979315,0.611104915523388,0.037,0.024,1,"GLUL","ABCC9"
"RNF43",0.00901474690961879,0.540715587631989,0.042,0.029,1,"GLUL","RNF43"
"DNAH14",0.00905135010591243,0.798731918699158,0.023,0.013,1,"GLUL","DNAH14"
"CAMK1D",0.00906268186268221,0.47423820266037,0.058,0.042,1,"GLUL","CAMK1D"
"CHPT1",0.00914801751203544,0.297719821414955,0.149,0.123,1,"GLUL","CHPT1"
"NXPE3",0.00917161754086475,1.08754295946637,0.013,0.006,1,"GLUL","NXPE3"
"PGBD4",0.00917161754086475,1.08754295946637,0.013,0.006,1,"GLUL","PGBD4"
"ZNF160",0.00917161754086475,1.08754295946637,0.013,0.006,1,"GLUL","ZNF160"
"NOSTRIN",0.0092261974885672,0.819691537334805,0.022,0.012,1,"GLUL","NOSTRIN"
"CIP2A",0.00925169786087358,1.28917682063603,0.01,0.004,1,"GLUL","CIP2A"
"SPG11",0.0093303271432932,0.330583082960752,0.113,0.091,1,"GLUL","SPG11"
"MIER1",0.00933389223666151,0.300611715698308,0.127,0.104,1,"GLUL","MIER1"
"ACER2",0.0093926304206619,0.870023212884949,0.019,0.011,1,"GLUL","ACER2"
"PILRA",0.00947799037593538,0.773376344422264,0.026,0.015,1,"GLUL","PILRA"
"ABCB6",0.00948590942801007,0.450113038851082,0.061,0.045,1,"GLUL","ABCB6"
"TBC1D22B",0.00951667834656482,1.17053232413741,0.011,0.005,1,"GLUL","TBC1D22B"
"NUTM2D",0.00951667834656482,1.17053232413741,0.011,0.005,1,"GLUL","NUTM2D"
"FMN1",0.00951667834656482,1.17053232413741,0.011,0.005,1,"GLUL","FMN1"
"HAVCR2",0.00952838175859629,0.747841252315126,0.026,0.015,1,"GLUL","HAVCR2"
"TMEM98",0.00954095737159257,0.557755490930453,0.041,0.028,1,"GLUL","TMEM98"
"HDAC5",0.00967861382160965,0.333400820892708,0.089,0.069,1,"GLUL","HDAC5"
"YAE1",0.00988332311271614,1.02614241480223,0.014,0.007,1,"GLUL","YAE1"
"TMEM88",0.00988332311271614,1.02614241480223,0.014,0.007,1,"GLUL","TMEM88"
"GABPA",0.00988332311271614,1.02614241480223,0.014,0.007,1,"GLUL","GABPA"
"FABP1",2.45614711579087e-232,0.750211912752285,0.997,0.949,3.49386927221251e-228,"Midzone","FABP1"
"HPX",6.4650579878462e-229,0.742205383222914,0.997,0.954,9.19654498771122e-225,"Midzone","HPX"
"VTN",2.87501818030318e-207,0.486513331679927,1,0.983,4.08971336148128e-203,"Midzone","VTN"
"HP",3.4004654365933e-205,0.693720306688038,1,0.974,4.83716208355398e-201,"Midzone","HP"
"TF",4.10444767697231e-198,0.543397425638234,1,0.99,5.83857682049312e-194,"Midzone","TF"
"FGA",5.3044073748488e-189,0.682644316334307,1,0.994,7.54551949072241e-185,"Midzone","FGA"
"APOC3",9.50597259185312e-180,0.447952824269917,1,0.979,1.35222460119111e-175,"Midzone","APOC3"
"FGG",1.37530155358988e-166,0.496200467092291,1,0.999,1.95636645998161e-162,"Midzone","FGG"
"C3",5.68462584137167e-166,0.341758676340506,1,0.995,8.0863802593512e-162,"Midzone","C3"
"CYP2A6",2.80915751360159e-154,1.04801859982577,0.834,0.557,3.99602656309826e-150,"Midzone","CYP2A6"
"APOA1",1.92613788875943e-152,0.733734549411663,1,0.99,2.73993114676029e-148,"Midzone","APOA1"
"RBP4",3.61863609823728e-152,0.563479526064607,1,0.981,5.14750984974253e-148,"Midzone","RBP4"
"AHSG",6.19635388905617e-151,0.484169900899348,1,0.98,8.8143134071824e-147,"Midzone","AHSG"
"HMGCS2",3.94292135086366e-150,0.699842242456353,0.969,0.833,5.60880562160356e-146,"Midzone","HMGCS2"
"A1BG",4.16815785623827e-145,0.613657382484813,0.991,0.906,5.92920455049894e-141,"Midzone","A1BG"
"AMBP",4.38234309279104e-122,0.451807981746938,1,0.983,6.23388304949526e-118,"Midzone","AMBP"
"ANG",2.11099941912716e-115,0.588485131058017,0.964,0.884,3.00289667370839e-111,"Midzone","ANG"
"F2",6.80753722306706e-102,0.588808766751633,0.931,0.804,9.68372169981289e-98,"Midzone","F2"
"TTR",1.14367734521745e-101,0.528228653783938,0.998,0.959,1.62688102357182e-97,"Midzone","TTR"
"APOB",3.96648774885864e-101,0.368570957459477,0.999,0.971,5.64232882275142e-97,"Midzone","APOB"
"APOC2",1.68910281534522e-96,0.387554517289808,0.998,0.959,2.40274875482857e-92,"Midzone","APOC2"
"ITIH2",8.6354389243703e-95,0.449257932997097,0.989,0.933,1.22839118699168e-90,"Midzone","ITIH2"
"PTMS",2.13395227638262e-91,0.68283699633231,0.976,0.915,3.03554711315428e-87,"Midzone","PTMS"
"ORM2",1.65918048933818e-88,0.455900759840208,0.986,0.92,2.36018424608356e-84,"Midzone","ORM2"
"RDH16",7.82267706136177e-87,0.802844351881437,0.732,0.5,1.11277581197871e-82,"Midzone","RDH16"
"FGB",8.48020146330325e-87,0.390935737010611,1,0.998,1.20630865815489e-82,"Midzone","FGB"
"AGT",6.70228892246019e-86,0.548660339582135,0.938,0.84,9.53400599219962e-82,"Midzone","AGT"
"NNMT",3.26766520982276e-85,0.650560923356858,0.884,0.731,4.64825376097288e-81,"Midzone","NNMT"
"ORM1",2.16058981717961e-77,0.385469171111064,1,0.989,3.073439014938e-73,"Midzone","ORM1"
"C1R",6.75668556395323e-76,0.297809314943728,1,0.988,9.61138521472347e-72,"Midzone","C1R"
"ITIH4",9.9632054613324e-74,0.482939221014406,0.943,0.836,1.41726597687453e-69,"Midzone","ITIH4"
"APOA2",2.85323743309464e-73,0.264656839263641,1,0.992,4.05873024857713e-69,"Midzone","APOA2"
"TFR2",9.22264161621244e-73,0.953876438500792,0.639,0.415,1.31192076990622e-68,"Midzone","TFR2"
"SERPINA3",2.21748270922303e-70,0.507927740788485,0.944,0.867,3.15436915386976e-66,"Midzone","SERPINA3"
"KNG1",5.09723779817318e-69,0.395989912839811,0.982,0.916,7.25082076790134e-65,"Midzone","KNG1"
"APOE",4.63034483456575e-68,0.558977023297513,1,0.988,6.58666552716978e-64,"Midzone","APOE"
"ACSL1",5.78551708544157e-68,0.46848690210287,0.946,0.846,8.22989805404063e-64,"Midzone","ACSL1"
"HSD17B6",5.6140525295684e-67,0.562090255247336,0.85,0.697,7.98598972331105e-63,"Midzone","HSD17B6"
"CFH",6.98767499175897e-67,0.38907028016744,0.97,0.925,9.93996767577713e-63,"Midzone","CFH"
"AGXT",2.44533561326744e-66,0.403379504215609,0.967,0.898,3.47848990987293e-62,"Midzone","AGXT"
"CYP4A11",3.84532190512972e-65,0.685064824644013,0.746,0.555,5.46997041004703e-61,"Midzone","CYP4A11"
"APOF",2.93984275949878e-64,0.946628034294338,0.538,0.321,4.18192632538702e-60,"Midzone","APOF"
"SERPINC1",8.62417947220621e-64,0.437435428835093,0.964,0.891,1.22678952992133e-59,"Midzone","SERPINC1"
"ATF5",1.70610129208053e-63,0.756845376261159,0.795,0.632,2.42692908798455e-59,"Midzone","ATF5"
"F9",3.63722530230614e-62,0.702850968371759,0.704,0.515,5.17395299253049e-58,"Midzone","F9"
"CYP3A5",1.40317373857189e-61,0.570870492772047,0.889,0.796,1.99601464311852e-57,"Midzone","CYP3A5"
"ALDOB",4.25295063486073e-61,0.423623225741907,0.999,0.988,6.04982227808939e-57,"Midzone","ALDOB"
"GC",8.6403709045852e-60,0.302147145501172,0.996,0.979,1.22909276117724e-55,"Midzone","GC"
"AZGP1",8.35403949005504e-59,0.354326058817521,0.991,0.952,1.18836211746033e-54,"Midzone","AZGP1"
"INSIG1",1.04430595553699e-58,0.734700505787248,0.711,0.537,1.48552522175136e-54,"Midzone","INSIG1"
"C8B",8.96295111433269e-58,0.650343320380039,0.71,0.53,1.27497979601383e-53,"Midzone","C8B"
"HSD17B13",1.53676154922413e-55,0.962205303993729,0.477,0.274,2.18604330377132e-51,"Midzone","HSD17B13"
"RARRES2",4.77236506934161e-55,0.489037732712509,0.905,0.804,6.78868931113844e-51,"Midzone","RARRES2"
"CFB",2.45030471985085e-54,0.31603088043653,0.995,0.968,3.48555846398784e-50,"Midzone","CFB"
"MT1G",2.65736359169985e-54,0.567604191858645,0.917,0.833,3.78009970919303e-50,"Midzone","MT1G"
"FBP1",1.43565184746053e-53,0.553402256352001,0.878,0.774,2.04221475301261e-49,"Midzone","FBP1"
"CYP2B6",1.45130092567983e-53,0.881131656870571,0.572,0.384,2.06447556677956e-49,"Midzone","CYP2B6"
"MT1X",1.58414706607217e-53,0.577547346675161,0.828,0.706,2.25344920148766e-49,"Midzone","MT1X"
"SLC22A7",5.51413789984972e-52,0.880092848035928,0.553,0.369,7.84386116253622e-48,"Midzone","SLC22A7"
"LRG1",3.66147958414814e-50,0.713431204415171,0.672,0.512,5.20845470845073e-46,"Midzone","LRG1"
"FGL1",2.28914621305971e-48,0.751242293983726,0.572,0.382,3.25631048807744e-44,"Midzone","FGL1"
"SLC25A47",2.29915581769049e-48,0.732543963494489,0.566,0.375,3.27054915066472e-44,"Midzone","SLC25A47"
"APOH",2.51641829353454e-48,0.360404432140617,0.98,0.917,3.57960502255289e-44,"Midzone","APOH"
"PGRMC1",1.30933968253055e-46,0.612753541045276,0.728,0.57,1.8625356983997e-42,"Midzone","PGRMC1"
"BHMT2",1.37474383542835e-46,0.471795797033874,0.811,0.673,1.95557310589683e-42,"Midzone","BHMT2"
"MAT1A",2.53879559810561e-45,0.368940994250044,0.948,0.855,3.61143673830522e-41,"Midzone","MAT1A"
"FTCD",1.24085234400619e-44,0.451344397859082,0.834,0.689,1.76511245934881e-40,"Midzone","FTCD"
"SDC1",1.49862125668125e-44,0.559738031272028,0.746,0.608,2.13178873762908e-40,"Midzone","SDC1"
"KHK",1.14134318222254e-43,0.607595299261037,0.643,0.474,1.62356067671157e-39,"Midzone","KHK"
"LBP",1.79749373922772e-43,0.525185293739432,0.807,0.681,2.55693484405143e-39,"Midzone","LBP"
"CP",1.87015076462898e-43,0.398518997754963,0.897,0.835,2.66028946268473e-39,"Midzone","CP"
"ECHS1",9.39396355574797e-42,0.409236572465529,0.904,0.819,1.33629131580515e-37,"Midzone","ECHS1"
"A2M",4.23225998322033e-41,0.449094706965649,0.88,0.764,6.02038982613091e-37,"Midzone","A2M"
"IGFBP4",1.00926088433719e-39,0.588596774004554,0.768,0.633,1.43567360796965e-35,"Midzone","IGFBP4"
"P4HB",2.16364765867015e-39,0.514187244286832,0.817,0.704,3.07778879445829e-35,"Midzone","P4HB"
"PEBP1",3.84453950081143e-39,0.310721733854683,0.973,0.904,5.46885743990425e-35,"Midzone","PEBP1"
"GAMT",5.24883971673863e-39,0.489706881747421,0.744,0.592,7.46647449706069e-35,"Midzone","GAMT"
"CYP8B1",2.16017864217935e-38,0.559405502676537,0.681,0.535,3.07285411850013e-34,"Midzone","CYP8B1"
"SYT7",7.84780051284282e-38,1.04237872186916,0.31,0.161,1.11634962295189e-33,"Midzone","SYT7"
"HRG",8.93867406022205e-38,0.355389722020467,0.978,0.924,1.27152638506659e-33,"Midzone","HRG"
"ALDH2",9.8498141642465e-38,0.338670094200192,0.959,0.889,1.40113606486406e-33,"Midzone","ALDH2"
"ASGR2",3.12225348856929e-36,0.495005986248507,0.711,0.574,4.44140558748981e-32,"Midzone","ASGR2"
"COL18A1",3.57357574059434e-36,0.585164818736789,0.677,0.537,5.08341149099546e-32,"Midzone","COL18A1"
"ITIH1",6.72783188779801e-36,0.38380815307933,0.845,0.732,9.57034086039267e-32,"Midzone","ITIH1"
"C6",1.61937697747392e-35,0.442131548368123,0.773,0.654,2.30356375045665e-31,"Midzone","C6"
"UROC1",2.79058141555694e-35,0.791944352814997,0.4,0.244,3.96960206362975e-31,"Midzone","UROC1"
"GLS2",2.07477759077997e-34,1.13114912660229,0.26,0.127,2.9513711228845e-30,"Midzone","GLS2"
"OAF",2.87693696428377e-34,0.439029627645668,0.767,0.638,4.09244283169366e-30,"Midzone","OAF"
"SLC27A5",4.0443354177474e-34,0.394931861491029,0.802,0.677,5.75306713174568e-30,"Midzone","SLC27A5"
"G0S2",4.75708233005438e-34,0.718479150102757,0.545,0.397,6.76694961450236e-30,"Midzone","G0S2"
"SLC39A14",6.66393862259009e-34,0.430595158210422,0.782,0.665,9.47945269063441e-30,"Midzone","SLC39A14"
"SDS",8.0772538730639e-34,0.858478645850474,0.428,0.274,1.14898936344334e-29,"Midzone","SDS"
"SLC22A1",8.39951195173329e-34,0.507775964367954,0.69,0.553,1.19483057513406e-29,"Midzone","SLC22A1"
"SERPINF2",1.21686474735247e-33,0.530613278227524,0.633,0.489,1.73099010310889e-29,"Midzone","SERPINF2"
"ITIH3",2.08470074700874e-33,0.35351432642895,0.906,0.849,2.96548681261993e-29,"Midzone","ITIH3"
"HSPA5",3.01646012768537e-32,0.525360583390112,0.744,0.636,4.29091453163243e-28,"Midzone","HSPA5"
"ASGR1",3.23814634194706e-31,0.388689288889748,0.834,0.723,4.60626317141969e-27,"Midzone","ASGR1"
"PGLYRP2",5.62985348927816e-31,0.975608441391311,0.3,0.167,8.00846658849818e-27,"Midzone","PGLYRP2"
"ASS1",8.55944742693913e-31,0.357196321891361,0.9,0.896,1.21758139648209e-26,"Midzone","ASS1"
"BHMT",1.57620408427532e-30,0.427335565206752,0.844,0.741,2.24215030988165e-26,"Midzone","BHMT"
"IGFALS",1.82538903954427e-30,0.739855210341962,0.421,0.275,2.59661590875173e-26,"Midzone","IGFALS"
"CXCL13",2.16768144951652e-30,1.60712507338724,0.17,0.068,3.08352686193725e-26,"Midzone","CXCL13"
"SLC38A3",3.47435923083087e-30,0.527714433699152,0.638,0.507,4.94227600585691e-26,"Midzone","SLC38A3"
"XBP1",9.53310159802895e-30,0.294653316171212,0.916,0.842,1.35608370231962e-25,"Midzone","XBP1"
"AC132217.2",1.16332263814807e-29,0.465361705122548,0.667,0.534,1.65482645276563e-25,"Midzone","AC132217.2"
"SERPIND1",1.29633185709972e-29,0.4573755681092,0.698,0.572,1.84403206672436e-25,"Midzone","SERPIND1"
"ACAA2",2.40860545810655e-29,0.39199553501651,0.769,0.654,3.42624126415657e-25,"Midzone","ACAA2"
"FASN",2.51099092751106e-29,0.651117293486204,0.642,0.535,3.57188459438448e-25,"Midzone","FASN"
"CPS1",5.24817645212938e-29,0.312886827589969,0.929,0.9,7.46553100315404e-25,"Midzone","CPS1"
"G6PC",7.46074034864889e-29,0.544952617552976,0.719,0.601,1.06129031459531e-24,"Midzone","G6PC"
"EPHX1",7.66620733136634e-29,0.38333598684133,0.787,0.673,1.09051799288686e-24,"Midzone","EPHX1"
"CEBPA",1.2123967459982e-28,0.440943206875915,0.737,0.619,1.72463437118243e-24,"Midzone","CEBPA"
"CRP",1.65882831195569e-28,0.567443067133102,0.625,0.471,2.35968327375697e-24,"Midzone","CRP"
"SELENOP",3.64375644585662e-28,0.25447864161471,0.993,0.973,5.18324354423104e-24,"Midzone","SELENOP"
"DPYS",5.43674263194655e-28,0.378718637868989,0.773,0.663,7.73376639394396e-24,"Midzone","DPYS"
"AFM",8.52473936953999e-28,0.359808168902619,0.853,0.758,1.21264417531706e-23,"Midzone","AFM"
"SAA4",2.84528694936221e-27,0.502473092673025,0.623,0.495,4.04742068546775e-23,"Midzone","SAA4"
"ASPG",3.88124684477189e-26,1.03642034505529,0.231,0.12,5.52107363668801e-22,"Midzone","ASPG"
"MASP2",6.26850855201424e-26,0.443727799160774,0.64,0.516,8.91695341524025e-22,"Midzone","MASP2"
"CPB2",2.72509615447134e-25,0.319698658432316,0.852,0.782,3.87644927973547e-21,"Midzone","CPB2"
"F12",4.38926246413821e-25,0.444388633995731,0.651,0.533,6.2437258552366e-21,"Midzone","F12"
"XDH",4.43179193999084e-25,0.857724250671286,0.284,0.166,6.30422403463697e-21,"Midzone","XDH"
"SLC38A4",6.26538027039513e-25,0.481529281723093,0.589,0.468,8.91250343463707e-21,"Midzone","SLC38A4"
"HAAO",6.3960841373534e-25,0.477392055769201,0.597,0.467,9.09842968538522e-21,"Midzone","HAAO"
"FAH",1.7004604822507e-24,0.52476938261191,0.544,0.422,2.41890503600162e-20,"Midzone","FAH"
"HAMP",2.25739526815896e-24,1.04162156486191,0.262,0.151,3.21114476895612e-20,"Midzone","HAMP"
"ETFB",2.33827620529658e-24,0.451040538722324,0.638,0.525,3.32619790203438e-20,"Midzone","ETFB"
"APOC4",3.02882997991713e-24,0.336361913851589,0.855,0.752,4.30851064643212e-20,"Midzone","APOC4"
"IGF1",9.66850434736219e-24,0.782634968203166,0.337,0.219,1.37534474341227e-19,"Midzone","IGF1"
